,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit
388,6840023804459850880,328.58103091927416,-14.613685821125523,9.73376207923219,2.6407118,12.810967999999999,0.02096945,78.05811152217994,1974-Feb-02 15:33:51.027,66.51103,32.172733,328.58573231896037,-14.611411658877726,591,240836.0,388.0,7.0
395,2612404756756981504,331.50960021836863,-13.513097221321011,9.79581549049611,2.5627880000000003,11.527211999999999,0.04037267,86.75124458536905,1974-Feb-12 06:51:17.778,135.74956,-101.18907,331.52026445034187,-13.521046446005045,615,246777.0,395.0,7.0
402,2612295866451022976,332.77590732413535,-13.097010510644868,10.534383029128305,2.5243921,14.495454999999998,0.029425131,68.98714214979276,1974-Feb-16 08:56:55.646,-56.564434,-9.126491,332.7723736455285,-13.097580658390596,625,249663.0,402.0,7.0
409,2612697020691556736,333.89579713701266,-12.67804099767992,12.341703336507594,3.1125832,11.356817,0.08615170400000001,88.05283895870558,1974-Feb-20 02:13:31.153,-74.021034,-167.95937,333.8898949365141,-12.691433540259226,634,252552.0,409.0,7.0
416,2600783606046024192,334.2097116113992,-12.53700576327303,10.89072769538218,2.7961922,14.238119000000001,0.02962673,70.23399588070798,1974-Feb-21 08:12:38.601,58.779655000000005,-77.26507,334.2134500466283,-12.541919886197908,637,253585.0,416.0,7.0
423,2600813739536640000,334.56312432657637,-12.372086761629673,13.0663077509945,3.5735245000000004,11.964715,0.16752654,83.57909065685375,1974-Feb-22 14:18:58.232,-33.78148,56.066742000000005,334.5605675560776,-12.36784331828404,640,254656.0,423.0,7.0
430,2608084122736160768,340.01501953161784,-10.273455655760912,10.47994955934745,2.5029907000000002,12.82697,0.034230593999999996,77.96073368632823,1974-Mar-14 03:30:29.980,-182.32985,-97.64067,340.00214743955553,-10.280348875431095,685,275704.0,430.0,7.0
437,2608414418606277632,342.2819362055618,-9.303172807998694,8.916518243670597,2.2209377,17.838112,0.018064713,56.0597448244861,1974-Mar-22 22:14:45.490,-44.705776,-95.23653399999999,342.27966670547784,-9.308007514841496,704,2502260.0,437.0,28.0
451,2609942434826358528,343.1375111221305,-8.918891970686412,8.287355540931816,2.0694293999999998,10.576300999999999,0.24395384,94.55101890838232,1974-Mar-26 06:23:29.949,10.102672,-105.06148999999999,343.1383761256947,-8.9278874690283,711,968975.0,451.0,14.0
465,2609998166322111488,343.7495391839471,-8.676765368123892,9.975626601729529,2.3807325,15.216555,0.019308265,65.71789892949947,1974-Mar-28 16:35:53.506,45.078415,-31.511738,343.7522218570411,-8.678640671223159,716,832322.0,465.0,14.0
479,2610016892379563648,344.1476139457734,-8.563737366523988,10.79186895654568,2.7075843999999996,19.027884,0.026575394,52.55445244033961,1974-Mar-30 03:56:09.981,99.76175,20.10044,344.15236170862426,-8.56278076623769,719,830837.0,479.0,15.0
520,2631546085965395840,346.97276428653015,-7.395404258129653,7.273576161398947,1.630166,10.626078,0.016812768,94.10810204402165,1974-Apr-11 18:10:05.854,-94.08473000000001,-155.36476000000002,346.96474636846517,-7.408644471493546,744,684560.0,520.0,13.0
533,2631555775411676800,347.2663210460641,-7.233118787586002,11.846188757716545,3.0171669999999997,15.701013,0.046717424,63.690159657258185,1974-Apr-12 20:06:24.563,-78.13698000000001,23.654535,347.26181449396995,-7.231754511694009,746,624733.0,533.0,12.0
