,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit,reach_time_years,reach_time_days,year,reach_year,return_year
20,20,68,68,68,562,4126131826677816960,255.03188674917584,-21.643805028815304,10.125885884865548,2.5841036,18.642738,0.019698134,53.640188562418224,2007-Feb-10 17:02:17.765,-234.358,-172.53363000000004,255.02050299447632,-21.652185713542245,641,0.0003976894718792867,562.0,32.0,174.8670147134834,63868.42845395268,2007,2181.8670147134835,2356.734029426967
21,21,58,58,58,424,4126824793864092160,251.05224373571426,-21.708614571767573,9.83298740319353,2.4769697,18.385004,0.019217877,54.392155564917964,2007-Jan-13 13:08:15.906,111.863464,-93.615555,251.0577535883316,-21.713225620716077,609,6.143756965877916e-05,424.0,7.0,177.31842714163255,64763.78232920988,2007,2184.3184271416326,2361.636854283265
22,22,12,12,12,84,3631698043395203584,202.60738221657203,-6.470214766691438,2.327580342737127,0.43431044,18.118595000000006,0.10211576,55.19191709927468,2006-Mar-08 20:21:19.067,44.70422,11.518409,202.60961650608087,-6.469639083680082,71,3.4315254200960214e-05,84.0,7.0,179.92564974363546,65716.04431236541,2006,2185.9256497436354,2365.851299487271
23,23,13,13,13,91,3631698142179428864,202.60981447389042,-6.4622245792622675,7.2023496270935246,1.5491714,18.086643,0.020318298,55.28941926326191,2006-Mar-08 20:21:19.067,46.3621,13.918517,202.61213571665058,-6.461527711389822,71,3.4315254200960214e-05,91.0,7.0,180.24350679823382,65832.13842298693,2006,2186.2435067982337,2366.4870135964675
24,24,74,74,74,789,4115729652086722560,258.8071938709939,-21.907518063966236,7.776727466913504,1.7376938000000002,18.019297,0.021566328,55.49606178526544,2007-Nov-25 18:50:46.430,-60.656494,-54.78972,258.8041455905715,-21.910271510715976,811,7.906834062071331e-05,789.0,7.0,180.9171614199653,66078.18403702813,2007,2187.9171614199654,2368.834322839931
25,25,73,73,73,782,4115729656381697152,258.80632885827566,-21.907240990953024,11.488018943107136,2.617587,17.909254,0.08442135,55.83705473509168,2007-Nov-25 18:50:46.430,-60.70481,-53.73575200000001,258.8032594047582,-21.909958063790263,811,7.906834062071331e-05,782.0,7.0,182.02879843639886,66484.19834091033,2007,2189.028798436399,2371.057596872798
26,26,6,6,6,42,3630646463602449664,204.89398993108972,-7.287723356164106,9.856484444946188,2.5822267999999995,17.71238,0.017476983,56.45768839294675,2006-Feb-28 06:36:35.270,-53.960423,-29.197268,204.89123117134187,-7.289216084401952,52,6.621843921467763e-05,42.0,7.0,184.0520641610064,67223.17591416599,2006,2190.0520641610065,2374.104128322013
27,27,128,128,128,2085,4079766035488581888,281.51589136779774,-21.194102204533888,5.308049570823735,0.96557236,18.018265,0.019379424,55.499239951052,2011-Feb-15 13:46:55.574,5.8453135000000005,-91.0897,281.51618513972636,-21.198680161947355,1263,0.008159334812242798,2085.0,150.0,180.9275222404295,66081.96822309447,2011,2191.9275222404294,2372.855044480859
28,28,86,86,86,930,4069879609204472960,270.6005733298041,-22.122255711866003,13.514643133253145,3.6924152,17.425478,0.094745114,57.38723500484733,2008-Mar-02 05:35:02.834,9.811954,-43.697212,270.6010832312347,-22.12452654110727,897,0.0008230074909979422,930.0,23.0,187.08238611580228,68329.97070493562,2008,2195.0823861158024,2382.1647722316047
29,29,110,110,110,1449,4070009007975710464,271.344391431034,-21.673721274274172,4.459009783124159,0.79814196,17.269138,0.03173825,57.90676874160178,2008-Apr-03 12:46:44.931,-61.91756,-124.587105,271.3411446080176,-21.680254352703447,905,0.0008428313078703704,1449.0,19.0,188.7760660976218,68948.57038149539,2008,2196.776066097622,2385.5521321952438
30,30,106,106,106,1332,4090236822206675840,276.2148598804708,-21.77976138996652,8.379849348398565,2.0889788,17.319368,0.016624117,57.738826213168075,2009-Feb-24 22:56:03.275,29.48009,-56.609646,276.21640126924086,-21.78272126813468,1054,0.001032400709447874,1332.0,31.0,188.22857345492793,68748.60416867788,2009,2197.2285734549278,2385.4571469098555
31,31,40,40,40,298,6309726116567652736,223.24452756153443,-15.808188874023818,14.32851398863957,3.8085194,16.991072,0.2256346,58.85443941350764,2006-Sep-24 22:44:11.631,-65.18927,-319.1207,223.2410532337291,-15.8251967329953,398,3.698760609567901e-05,298.0,7.0,191.8654724880349,70076.94517152986,2006,2197.865472488035,2389.7309449760696
32,32,67,67,67,546,4126132131616408704,254.97789510320047,-21.617405493806828,12.152717058065429,2.837716,16.583424,0.12900878,60.301179252607106,2007-Feb-10 17:02:17.765,159.89061,-15.929018,254.98662610767394,-21.618275315541958,641,0.0003983616790980797,546.0,32.0,196.58184436349916,71799.55283532443,2007,2203.581844363499,2400.163688726998
33,33,101,101,101,1225,4070458635205755008,268.3712409885728,-22.043637011736774,9.780006373987764,2.7573318,15.943802,0.21195914,62.72029767641279,2008-Feb-04 18:49:13.280,-15.79248,-56.676704,268.3703440268586,-22.046856064883066,881,0.0003427663376628944,1225.0,20.0,204.46817042510568,74679.9545660656,2008,2212.4681704251057,2416.9363408502113
34,34,42,42,42,312,6259166929791578368,228.51132837262543,-17.344403185625907,4.814970277596696,0.880394,15.760455,0.023772603,63.44994428488141,2006-Oct-13 19:05:36.566,-158.72128,-56.503780000000006,228.50220864522203,-17.347649751332685,439,3.772009495027435e-05,312.0,7.0,206.8468183687134,75548.73194098889,2006,2212.8468183687132,2419.6936367374265
35,35,118,118,118,1679,4091597742681064192,278.0921348167119,-21.469857863153827,10.932200625259693,2.8151102000000003,16.043863,0.04618618,62.329127437629325,2010-Jan-28 04:01:24.110,13.511037,-22.850325,278.09289741385345,-21.471147593350786,1164,0.0022730851873285327,1679.0,66.0,203.1929554466716,74214.19504734233,2010,2213.1929554466715,2416.385910893343
36,36,43,43,43,319,6259167307748699904,228.5159346014751,-17.345753574509004,9.162930451567428,2.2939014,15.721994,0.018147519,63.60516195060133,2006-Oct-13 19:05:36.566,-158.75723,-54.57536,228.50679049383976,-17.348897008995127,439,3.772009495027435e-05,319.0,7.0,207.35282795896032,75733.54688373067,2006,2213.3528279589605,2420.705655917921
37,37,120,120,120,1742,4090342276541697408,276.5689724907349,-21.47270139039516,5.663137897054643,1.0203409,15.773787,0.016368428,63.39631876974227,2009-Mar-08 12:33:51.538,-8.128900999999999,-53.963963,276.56850581921617,-21.475799403991733,1058,0.0012373204946844994,1742.0,26.0,206.67199918935978,75484.88098392177,2009,2215.6719991893597,2422.3439983787193
38,38,105,105,105,1309,4070316832559678208,269.9153322909993,-21.99157508189858,9.679314180905942,2.5201464,15.6446,0.020362651,63.91981932819623,2008-Feb-21 09:43:43.132,-13.631803,-35.854156,269.9145432414561,-21.993650427816963,892,0.0009779405381944444,1309.0,23.0,208.3786110099197,76108.20388526306,2008,2216.3786110099195,2424.757222019839
39,39,84,84,84,894,4070436748058276224,267.96056761820245,-22.262395880255227,13.103352723509245,3.4112606,15.636725,0.12765801,63.952008670251416,2008-Jan-31 21:17:10.763,-57.51726,-33.576607,267.9572366703252,-22.264340373509164,878,0.0002553092046039095,894.0,16.0,208.4835482650196,76146.53116831576,2008,2216.4835482650196,2424.9670965300393
40,40,39,39,39,291,6309786280470601472,222.41552199658574,-15.552109085383167,10.826307995017505,2.8522243,15.283779,0.044456273,65.42884391088495,2006-Sep-21 18:09:33.402,-102.92763,-14.09555,222.40942358606534,-15.552944239655213,391,3.6929601766117966e-05,291.0,7.0,213.29803114948493,77904.97289703788,2006,2219.298031149485,2432.5960622989696
