,date,ra,dec
387,2006-Sep-19 22:26:15.569,221.47294,-15.31532
388,2006-Sep-20 09:21:58.197,221.59912,-15.35423
389,2006-Sep-20 20:17:45.095,221.72534,-15.39306
390,2006-Sep-21 07:13:36.686,221.85162,-15.4318
391,2006-Sep-21 18:09:33.402,221.97795,-15.47046
392,2006-Sep-22 05:05:35.682,222.10433,-15.50904
393,2006-Sep-22 16:01:43.973,222.23075,-15.54754
394,2006-Sep-23 02:57:58.727,222.35723,-15.58596
395,2006-Sep-23 13:54:20.402,222.48376,-15.62429
396,2006-Sep-24 00:50:49.463,222.61034,-15.66254
397,2006-Sep-24 11:47:26.382,222.73696,-15.70071
398,2006-Sep-24 22:44:11.631,222.86364,-15.7388
399,2006-Sep-25 09:41:05.692,222.99036,-15.7768
400,2006-Sep-25 20:38:09.047,223.11714,-15.81472
401,2006-Sep-26 07:35:22.184,223.24397,-15.85255
402,2006-Sep-26 18:32:45.594,223.37084,-15.8903
403,2006-Sep-27 05:30:19.768,223.49777,-15.92797
404,2006-Sep-27 16:28:05.202,223.62475,-15.96555
405,2006-Sep-28 03:26:02.393,223.75177,-16.00305
406,2006-Sep-28 14:24:11.838,223.87885,-16.04046
407,2006-Sep-29 01:22:34.035,224.00598,-16.07779
408,2006-Sep-29 12:21:09.481,224.13315,-16.11503
409,2006-Sep-29 23:19:58.673,224.26038,-16.15219
410,2006-Sep-30 10:19:02.104,224.38766,-16.18926
411,2006-Sep-30 21:18:20.265,224.51498,-16.22625
412,2006-Oct-01 08:17:53.642,224.64236,-16.26315
413,2006-Oct-01 19:17:42.715,224.76979,-16.29996
414,2006-Oct-02 06:17:47.955,224.89726,-16.33669
415,2006-Oct-02 17:18:09.824,225.02479,-16.37333
416,2006-Oct-03 04:18:48.772,225.15237,-16.40989
417,2006-Oct-03 15:19:45.235,225.28,-16.44635
418,2006-Oct-04 02:20:59.633,225.40767,-16.48274
419,2006-Oct-04 13:22:32.367,225.5354,-16.51903
420,2006-Oct-05 00:24:23.821,225.66318,-16.55524
421,2006-Oct-05 11:26:34.355,225.79101,-16.59136
422,2006-Oct-05 22:29:04.310,225.91889,-16.62739
423,2006-Oct-06 09:31:54.006,226.04682,-16.66334
424,2006-Oct-06 20:35:03.744,226.1748,-16.6992
425,2006-Oct-07 07:38:33.806,226.30283,-16.73497
426,2006-Oct-07 18:42:24.462,226.43091,-16.77065
427,2006-Oct-08 05:46:35.969,226.55904,-16.80625
428,2006-Oct-08 16:51:08.579,226.68722,-16.84176
429,2006-Oct-09 03:56:02.540,226.81545,-16.87718
430,2006-Oct-09 15:01:18.104,226.94373,-16.91251
431,2006-Oct-10 02:06:55.527,227.07207,-16.94775
432,2006-Oct-10 13:12:55.074,227.20045,-16.9829
433,2006-Oct-11 00:19:17.022,227.32888,-17.01797
434,2006-Oct-11 11:26:01.663,227.45736,-17.05294
435,2006-Oct-11 22:33:09.302,227.5859,-17.08783
436,2006-Oct-12 09:40:40.264,227.71448,-17.12263
437,2006-Oct-12 20:48:34.888,227.84311,-17.15733
438,2006-Oct-13 07:56:53.530,227.97179,-17.19195
439,2006-Oct-13 19:05:36.566,228.10053,-17.22648
440,2006-Oct-14 06:14:44.385,228.22931,-17.26091
441,2006-Oct-14 17:24:17.393,228.35814,-17.29526
442,2006-Oct-15 04:34:16.013,228.48702,-17.32952
443,2006-Oct-15 15:44:40.680,228.61596,-17.36368
444,2006-Oct-16 02:55:31.845,228.74494,-17.39775
445,2006-Oct-16 14:06:49.974,228.87397,-17.43173
446,2006-Oct-17 01:18:35.543,229.00305,-17.46562
447,2006-Oct-17 12:30:49.046,229.13218,-17.49942
448,2006-Oct-17 23:43:30.985,229.26136,-17.53313
449,2006-Oct-18 10:56:41.878,229.39059,-17.56674
450,2006-Oct-18 22:10:22.255,229.51987,-17.60026
451,2006-Oct-19 09:24:32.657,229.6492,-17.63369
452,2006-Oct-19 20:39:13.640,229.77858,-17.66702
453,2006-Oct-20 07:54:25.771,229.90801,-17.70027
454,2006-Oct-20 19:10:09.628,230.03749,-17.73341
455,2006-Oct-21 06:26:25.803,230.16702,-17.76647
456,2006-Oct-21 17:43:14.900,230.2966,-17.79943
457,2006-Oct-22 05:00:37.534,230.42622,-17.83229
458,2006-Oct-22 16:18:34.331,230.5559,-17.86506
459,2006-Oct-23 03:37:05.930,230.68562,-17.89774
460,2006-Oct-23 14:56:12.980,230.8154,-17.93032
461,2006-Oct-24 02:15:56.139,230.94522,-17.96281
462,2006-Oct-24 13:36:16.076,231.07509,-17.9952
463,2006-Oct-25 00:57:13.470,231.20502,-18.0275
464,2006-Oct-25 12:18:49.005,231.33499,-18.0597
465,2006-Oct-25 23:41:03.377,231.46501,-18.0918
