date,na1,na2,ra,dec,
 1982-Jan-13 00:00, , ,   210.77166,    4.36400,
 1982-Jan-23 00:00, , ,   211.24434,    4.66589,
 1982-Feb-02 00:00, , ,   211.58659,    5.01951,
 1982-Feb-12 00:00, , ,   211.79794,    5.41670,
 1982-Feb-22 00:00, , ,   211.88171,    5.84760,
 1982-Mar-04 00:00, , ,   211.84522,    6.30035,
 1982-Mar-14 00:00, , ,   211.70203,    6.76111,
 1982-Mar-24 00:00, , ,   211.46889,    7.21592,
 1982-Apr-03 00:00, , ,   211.16653,    7.65034,
 1982-Apr-13 00:00, , ,   210.81955,    8.05069,
 1982-Apr-23 00:00, , ,   210.45245,    8.40549,
 1982-May-03 00:00, , ,   210.09095,    8.70487,
 1982-May-13 00:00, , ,   209.75967,    8.94208,
 1982-May-23 00:00, , ,   209.47957,    9.11348,
 1982-Jun-02 00:00, , ,   209.26981,    9.21762,
 1982-Jun-12 00:00, , ,   209.14491,    9.25628,
 1982-Jun-22 00:00, , ,   209.11493,    9.23318,
 1982-Jul-02 00:00, , ,   209.18729,    9.15341,
 1982-Jul-12 00:00, , ,   209.36438,    9.02398,
 1982-Jul-22 00:00, , ,   209.64584,    8.85222,
 1982-Aug-01 00:00, , ,   210.02924,    8.64600,
 1982-Aug-11 00:00, , ,   210.50849,    8.41390,
 1982-Aug-21 00:00, , ,   211.07674,    8.16386,
 1982-Aug-31 00:00, , ,   211.72555,    7.90415,
 1982-Sep-10 00:00, , ,   212.44440,    7.64290,
 1982-Sep-20 00:00, , ,   213.22307,    7.38744,
 1982-Sep-30 00:00, , ,   214.04978,    7.14538,
 1982-Oct-10 00:00, , ,   214.91188,    6.92366,
 1982-Oct-20 00:00, , ,   215.79724,    6.72854,
 1982-Oct-30 00:00, , ,   216.69214,    6.56635,
 1982-Nov-09 00:00, , ,   217.58293,    6.44230,
 1982-Nov-19 00:00, , ,   218.45634,    6.36102,
 1982-Nov-29 00:00, , ,   219.29786,    6.32666,
 1982-Dec-09 00:00, , ,   220.09407,    6.34184,
 1982-Dec-19 00:00, , ,   220.83191,    6.40846,
 1982-Dec-29 00:00, , ,   221.49820,    6.52718,
 1983-Jan-08 00:00, , ,   222.08211,    6.69676,
 1983-Jan-18 00:00, , ,   222.57360,    6.91497,
 1983-Jan-28 00:00, , ,   222.96450,    7.17761,
 1983-Feb-07 00:00, , ,   223.25019,    7.47862,
 1983-Feb-17 00:00, , ,   223.42785,    7.81084,
 1983-Feb-27 00:00, , ,   223.49853,    8.16507,
 1983-Mar-09 00:00, , ,   223.46744,    8.53111,
 1983-Mar-19 00:00, , ,   223.34224,    8.89820,
 1983-Mar-29 00:00, , ,   223.13524,    9.25468,
 1983-Apr-08 00:00, , ,   222.86167,    9.58963,
 1983-Apr-18 00:00, , ,   222.53854,    9.89283,
 1983-Apr-28 00:00, , ,   222.18584,   10.15502,
 1983-May-08 00:00, , ,   221.82344,   10.36939,
 1983-May-18 00:00, , ,   221.47098,   10.53075,
 1983-May-28 00:00, , ,   221.14791,   10.63612,
 1983-Jun-07 00:00, , ,   220.87057,   10.68527,
 1983-Jun-17 00:00, , ,   220.65346,   10.67933,
 1983-Jun-27 00:00, , ,   220.50848,   10.62162,
 1983-Jul-07 00:00, , ,   220.44346,   10.51705,
 1983-Jul-17 00:00, , ,   220.46428,   10.37110,
 1983-Jul-27 00:00, , ,   220.57352,   10.19064,
 1983-Aug-06 00:00, , ,   220.77070,    9.98279,
 1983-Aug-16 00:00, , ,   221.05403,    9.75466,
 1983-Aug-26 00:00, , ,   221.41882,    9.51401,
 1983-Sep-05 00:00, , ,   221.85885,    9.26803,
 1983-Sep-15 00:00, , ,   222.36713,    9.02376,
 1983-Sep-25 00:00, , ,   222.93440,    8.78834,
 1983-Oct-05 00:00, , ,   223.55110,    8.56797,
 1983-Oct-15 00:00, , ,   224.20692,    8.36882,
 1983-Oct-25 00:00, , ,   224.89006,    8.19657,
 1983-Nov-04 00:00, , ,   225.58908,    8.05593,
 1983-Nov-14 00:00, , ,   226.29174,    7.95147,
 1983-Nov-24 00:00, , ,   226.98516,    7.88674,
 1983-Dec-04 00:00, , ,   227.65733,    7.86428,
 1983-Dec-14 00:00, , ,   228.29558,    7.88616,
 1983-Dec-24 00:00, , ,   228.88783,    7.95291,
 1984-Jan-03 00:00, , ,   229.42336,    8.06400,
 1984-Jan-13 00:00, , ,   229.89151,    8.21797,
 1984-Jan-23 00:00, , ,   230.28376,    8.41149,
 1984-Feb-02 00:00, , ,   230.59345,    8.64030,
 1984-Feb-12 00:00, , ,   230.81533,    8.89883,
 1984-Feb-22 00:00, , ,   230.94758,    9.17989,
 1984-Mar-03 00:00, , ,   230.99068,    9.47584,
 1984-Mar-13 00:00, , ,   230.94774,    9.77791,
 1984-Mar-23 00:00, , ,   230.82570,   10.07677,
 1984-Apr-02 00:00, , ,   230.63346,   10.36354,
 1984-Apr-12 00:00, , ,   230.38275,   10.62913,
 1984-Apr-22 00:00, , ,   230.08793,   10.86546,
 1984-May-02 00:00, , ,   229.76384,   11.06583,
 1984-May-12 00:00, , ,   229.42695,   11.22447,
 1984-May-22 00:00, , ,   229.09377,   11.33777,
 1984-Jun-01 00:00, , ,   228.77948,   11.40377,
 1984-Jun-11 00:00, , ,   228.49903,   11.42195,
 1984-Jun-21 00:00, , ,   228.26497,   11.39400,
 1984-Jul-01 00:00, , ,   228.08763,   11.32264,
 1984-Jul-11 00:00, , ,   227.97580,   11.21184,
 1984-Jul-21 00:00, , ,   227.93488,   11.06693,
 1984-Jul-31 00:00, , ,   227.96838,   10.89341,
 1984-Aug-10 00:00, , ,   228.07785,   10.69759,
 1984-Aug-20 00:00, , ,   228.26187,   10.48614,
 1984-Aug-30 00:00, , ,   228.51798,   10.26535,
 1984-Sep-09 00:00, , ,   228.84179,   10.04199,
 1984-Sep-19 00:00, , ,   229.22698,    9.82241,
 1984-Sep-29 00:00, , ,   229.66681,    9.61248,
 1984-Oct-09 00:00, , ,   230.15282,    9.41823,
 1984-Oct-19 00:00, , ,   230.67564,    9.24479,
 1984-Oct-29 00:00, , ,   231.22578,    9.09688,
 1984-Nov-08 00:00, , ,   231.79230,    8.97895,
 1984-Nov-18 00:00, , ,   232.36434,    8.89430,
 1984-Nov-28 00:00, , ,   232.93100,    8.84581,
 1984-Dec-08 00:00, , ,   233.48055,    8.83556,
 1984-Dec-18 00:00, , ,   234.00228,    8.86433,
 1984-Dec-28 00:00, , ,   234.48562,    8.93236,
 1985-Jan-07 00:00, , ,   234.92031,    9.03861,
 1985-Jan-17 00:00, , ,   235.29793,    9.18073,
 1985-Jan-27 00:00, , ,   235.61075,    9.35575,
 1985-Feb-06 00:00, , ,   235.85273,    9.55909,
 1985-Feb-16 00:00, , ,   236.02037,    9.78534,
 1985-Feb-26 00:00, , ,   236.11149,   10.02840,
 1985-Mar-08 00:00, , ,   236.12680,   10.28098,
 1985-Mar-18 00:00, , ,   236.06963,   10.53568,
 1985-Mar-28 00:00, , ,   235.94501,   10.78485,
 1985-Apr-07 00:00, , ,   235.76112,   11.02059,
 1985-Apr-17 00:00, , ,   235.52782,   11.23595,
 1985-Apr-27 00:00, , ,   235.25637,   11.42437,
 1985-May-07 00:00, , ,   234.96003,   11.58023,
 1985-May-17 00:00, , ,   234.65200,   11.69960,
 1985-May-27 00:00, , ,   234.34583,   11.77943,
 1985-Jun-06 00:00, , ,   234.05514,   11.81836,
 1985-Jun-16 00:00, , ,   233.79176,   11.81664,
 1985-Jun-26 00:00, , ,   233.56686,   11.77541,
 1985-Jul-06 00:00, , ,   233.38991,   11.69747,
 1985-Jul-16 00:00, , ,   233.26793,   11.58651,
 1985-Jul-26 00:00, , ,   233.20677,   11.44677,
 1985-Aug-05 00:00, , ,   233.20981,   11.28362,
 1985-Aug-15 00:00, , ,   233.27831,   11.10243,
 1985-Aug-25 00:00, , ,   233.41241,   10.90888,
 1985-Sep-04 00:00, , ,   233.60974,   10.70909,
 1985-Sep-14 00:00, , ,   233.86676,   10.50862,
 1985-Sep-24 00:00, , ,   234.17884,   10.31320,
 1985-Oct-04 00:00, , ,   234.53939,   10.12839,
 1985-Oct-14 00:00, , ,   234.94141,    9.95900,
 1985-Oct-24 00:00, , ,   235.37689,    9.80986,
 1985-Nov-03 00:00, , ,   235.83659,    9.68509,
 1985-Nov-13 00:00, , ,   236.31142,    9.58808,
 1985-Nov-23 00:00, , ,   236.79139,    9.52197,
 1985-Dec-03 00:00, , ,   237.26624,    9.48879,
 1985-Dec-13 00:00, , ,   237.72626,    9.48984,
 1985-Dec-23 00:00, , ,   238.16125,    9.52582,
 1986-Jan-02 00:00, , ,   238.54486,    9.62184,
 1986-Jan-12 00:00, , ,   238.90271,    9.72522,
 1986-Jan-22 00:00, , ,   239.20966,    9.85929,
 1986-Feb-01 00:00, , ,   239.45958,   10.02043,
 1986-Feb-11 00:00, , ,   239.64765,   10.20458,
 1986-Feb-21 00:00, , ,   239.77042,   10.40660,
 1986-Mar-03 00:00, , ,   239.82710,   10.62052,
 1986-Mar-13 00:00, , ,   239.81839,   10.84032,
